0,1,2
53.441,329.536,108.807
80.453,336.454,104.619
72.278,506.154,80.135
77.343,290.973,120.397
91.655,216.63,87.73200000000001
28.706,337.45599999999996,51.803999999999995
117.41799999999999,480.45300000000003,-163.673
70.7,391.027,120.63799999999999
94.274,262.158,-153.678
70.541,538.365,43.755
107.037,253.635,144.868
37.924,336.593,100.054
77.682,289.718,12.671
31.761999999999997,343.08099999999996,81.217
116.976,426.228,121.624
105.881,319.325,91.556
78.061,414.84,113.363
72.928,540.736,44.093
28.590999999999998,344.30400000000003,47.278
80.791,196.455,90.176
49.016000000000005,326.468,-120.33200000000001
70.277,514.721,68.414
119.58200000000001,343.224,94.501
88.044,320.74,103.266
124.557,495.296,-67.152
124.764,292.532,10.78
112.646,267.478,-161.078
80.834,296.843,113.044
74.899,491.325,81.173
40.001,530.388,-106.469
85.169,396.865,130.842
24.8,352.564,46.135
75.044,313.142,144.153
98.12200000000001,278.71,-114.995
22.401,439.955,97.609
87.71700000000001,415.8,127.959
38.648,533.285,-89.71700000000001
73.64,246.172,137.638
-15.995999999999999,116.32799999999999,33.865
66.339,295.093,99.919
82.579,236.583,171.62099999999998
50.486999999999995,325.519,10.364
58.408,216.459,134.504
28.513,438.827,107.068
72.32600000000001,323.436,117.55799999999999
113.445,335.029,97.87200000000001
12.600999999999999,332.49199999999996,97.92399999999999
58.196000000000005,207.233,114.209
37.978,470.477,88.744
17.033,476.55,66.937
81.354,402.31300000000005,125.01299999999999
40.485,159.38299999999998,22.574
29.274,336.47,-157.00799999999998
83.49,299.101,109.57799999999999
101.243,307.824,39.74
87.634,276.485,-122.7
27.666999999999998,315.189,85.258
6.266,474.62,46.705
11.095999999999998,425.471,78.671
143.007,435.769,88.81299999999999
42.092,531.564,-75.071
85.29700000000001,286.745,36.691
106.62,323.83099999999996,94.76899999999999
95.25299999999999,507.914,39.263000000000005
69.02600000000001,382.95599999999996,131.68
82.97,380.841,127.344
84.00200000000001,254.555,-171.197
128.94799999999998,295.405,-32.086999999999996
103.111,325.035,102.15299999999999
75.521,376.713,150.217
26.14,281.972,51.228
132.357,294.184,42.272
25.4,361.124,85.921
86.46700000000001,232.90099999999998,82.01899999999999
58.086000000000006,339.01,-137.806
76.671,527.591,70.335
75.971,391.59,144.47799999999998
43.373999999999995,402.55800000000005,130.739
169.582,98.87799999999999,45.43899999999999
49.239,314.163,22.014
48.196000000000005,240.94,119.285
73.98899999999999,523.143,74.73
91.676,231.408,110.43299999999999
36.904,541.386,-150.703
103.235,295.263,-36.576
97.40299999999999,204.726,91.587
103.163,340.68800000000005,110.435
74.429,512.534,75.565
15.312000000000001,487.51,49.199
54.661,240.551,81.657
106.86399999999999,321.145,107.648
77.81,549.453,36.866
23.964000000000002,305.497,50.409
103.36399999999999,479.98400000000004,-152.924
96.01700000000001,242.953,-170.68
118.324,354.55400000000003,113.244
134.064,490.615,59.067
126.111,68.306,95.425
41.773999999999994,348.426,110.90899999999999
72.161,303.85200000000003,110.171
71.315,341.366,121.867
53.382,307.782,68.32300000000001
138.016,370.25699999999995,62.287
125.76899999999999,307.926,55.87
69.421,279.212,106.35
42.019,337.593,-123.37100000000001
120.171,500.12800000000004,-101.36399999999999
31.138,159.339,15.607999999999999
74.44800000000001,359.648,130.416
49.333,556.264,-139.773
153.25,85.209,66.779
84.164,292.86,94.48
109.10600000000001,494.23400000000004,32.802
49.916000000000004,323.879,88.307
146.185,407.538,78.564
27.855999999999998,354.61300000000006,83.965
32.297,335.005,59.416000000000004
91.359,233.885,105.014
41.07899999999999,347.085,112.954
22.735,142.30700000000002,22.410999999999998
46.953,535.999,-86.89399999999999
127.368,505.77099999999996,9.247
51.097,340.06699999999995,-130.14
29.949,291.721,52.718999999999994
25.851999999999997,546.2330000000001,-163.988
59.266000000000005,513.118,41.05
21.176,149.613,13.342
93.169,218.338,128.061
128.504,349.236,41.205
85.54299999999999,298.325,109.264
47.048,226.43900000000002,114.42399999999999
76.668,415.135,140.746
111.824,326.598,76.44
73.47399999999999,293.019,21.163
73.84899999999999,412.64099999999996,131.165
77.102,296.827,121.78299999999999
113.175,319.668,74.574
96.70299999999999,482.173,-165.301
101.619,258.469,-155.795
69.705,287.45,109.47200000000001
63.129,254.489,118.73899999999999
95.185,476.973,104.661
19.683,287.218,46.12
35.67,343.228,87.492
8.73,64.444,89.68299999999999
81.055,381.93699999999995,122.03399999999999
65.976,298.684,99.426
70.077,361.468,121.851
127.723,360.98,96.213
111.75,243.635,117.734
115.98700000000001,300.91900000000004,-55.989
42.312,503.80699999999996,-0.649
117.647,298.23,-70.253
75.583,540.56,51.919
67.416,390.631,124.63799999999999
79.459,399.94800000000004,116.715
80.453,251.24900000000002,114.82700000000001
76.185,323.791,125.542
118.33200000000001,453.899,102.626
110.477,287.409,-59.408
53.853,329.702,-127.993
101.939,492.972,-76.306
51.721000000000004,321.278,-57.141000000000005
50.788000000000004,309.20799999999997,49.911
33.499,509.208,35.605
102.155,278.21,-98.75399999999999
41.04,328.30199999999996,-137.982
113.55799999999999,318.057,42.268
103.303,312.943,22.914
69.639,240.395,79.778
76.164,290.504,11.387
108.257,300.807,-51.549
76.033,302.1,138.532
110.645,327.002,15.607999999999999
34.25,373.767,119.208
19.021,323.597,93.148
47.613,292.908,91.29799999999999
100.04700000000001,308.228,81.793
78.582,384.001,145.366
58.078,235.178,98.51799999999999
89.65899999999999,337.24300000000005,115.844
104.51100000000001,487.515,-144.24200000000002
70.054,255.513,116.26700000000001
94.93700000000001,242.41299999999998,66.623
124.029,297.99,82.522
68.178,247.543,113.4
76.819,506.866,73.803
34.246,284.76099999999997,69.317
123.729,347.814,91.96799999999999
45.066,330.509,-160.12
75.634,473.436,108.633
104.615,481.101,-160.57
69.646,550.133,18.296
145.917,409.93699999999995,85.286
82.74700000000001,223.334,120.92
39.948,290.28,61.456
54.802,542.8290000000001,-160.19899999999998
67.054,373.45,128.952
105.01799999999999,487.474,-154.024
61.81100000000001,333.47900000000004,1.127
58.958999999999996,369.525,127.764
37.051,326.39,-117.053
116.345,341.36400000000003,101.24
118.868,281.279,-47.685
69.097,259.665,114.335
76.339,308.85400000000004,126.588
100.333,237.74900000000002,100.234
54.951,314.368,13.142999999999999
100.479,194.407,78.345
82.54899999999999,356.602,127.53200000000001
74.145,229.558,81.555
120.20200000000001,387.14599999999996,120.387
93.65100000000001,303.754,75.467
94.564,387.07,128.97299999999998
42.993,328.211,-152.612
76.805,551.636,1.3769999999999998
40.115,522.431,-52.728
57.027,241.58,118.959
100.094,219.75,141.996
83.66799999999999,493.458,80.422
122.40899999999999,508.92400000000004,2.6310000000000002
88.44200000000001,309.434,99.0
83.285,312.567,108.333
70.722,216.925,80.95
46.84,328.57,-132.44799999999998
47.553000000000004,338.853,4.221
76.794,436.07199999999995,104.664
37.107,335.769,98.713
24.035999999999998,335.48,-167.457
75.164,387.11199999999997,136.312
87.65899999999999,384.538,129.665
70.40899999999999,273.72700000000003,109.963
103.29899999999999,212.097,118.10600000000001
128.106,349.528,39.022
83.51899999999999,281.376,111.07799999999999
92.639,319.573,110.95
73.331,242.357,99.07
124.072,289.918,78.139
90.055,281.98400000000004,102.116
160.046,124.89299999999999,24.316
66.438,326.012,107.322
124.18799999999999,294.942,-39.006
133.118,65.422,90.09
13.47,398.176,95.96700000000001
106.375,487.186,-71.918
44.068999999999996,427.749,123.29799999999999
40.387,523.3430000000001,-95.10799999999999
94.839,248.32,155.752
77.666,331.827,131.241
110.311,483.06300000000005,-140.047
115.52799999999999,476.152,-160.185
34.945,513.764,-73.947
111.837,491.629,-157.366
80.575,193.968,64.598
139.526,380.004,72.152
